date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20060106,2006-01-06,6,1,January,1,2006,Friday,0
20060107,2006-01-07,7,1,January,1,2006,Saturday,1
20060108,2006-01-08,8,1,January,1,2006,Sunday,1
20060109,2006-01-09,9,1,January,1,2006,Monday,0
20060110,2006-01-10,10,1,January,1,2006,Tuesday,0
20060111,2006-01-11,11,1,January,1,2006,Wednesday,0
20060112,2006-01-12,12,1,January,1,2006,Thursday,0
20060113,2006-01-13,13,1,January,1,2006,Friday,0
20060114,2006-01-14,14,1,January,1,2006,Saturday,1
20060115,2006-01-15,15,1,January,1,2006,Sunday,1
20060116,2006-01-16,16,1,January,1,2006,Monday,0
20060117,2006-01-17,17,1,January,1,2006,Tuesday,0
20060118,2006-01-18,18,1,January,1,2006,Wednesday,0
20060119,2006-01-19,19,1,January,1,2006,Thursday,0
20060120,2006-01-20,20,1,January,1,2006,Friday,0
20060121,2006-01-21,21,1,January,1,2006,Saturday,1
20060122,2006-01-22,22,1,January,1,2006,Sunday,1
20060123,2006-01-23,23,1,January,1,2006,Monday,0
20060124,2006-01-24,24,1,January,1,2006,Tuesday,0
20060125,2006-01-25,25,1,January,1,2006,Wednesday,0
20060126,2006-01-26,26,1,January,1,2006,Thursday,0
20060127,2006-01-27,27,1,January,1,2006,Friday,0
20060128,2006-01-28,28,1,January,1,2006,Saturday,1
20060129,2006-01-29,29,1,January,1,2006,Sunday,1
20060130,2006-01-30,30,1,January,1,2006,Monday,0
20060131,2006-01-31,31,1,January,1,2006,Tuesday,0
20060201,2006-02-01,1,2,February,1,2006,Wednesday,0
20060202,2006-02-02,2,2,February,1,2006,Thursday,0
20060203,2006-02-03,3,2,February,1,2006,Friday,0
20060204,2006-02-04,4,2,February,1,2006,Saturday,1
20060205,2006-02-05,5,2,February,1,2006,Sunday,1
20060206,2006-02-06,6,2,February,1,2006,Monday,0
20060207,2006-02-07,7,2,February,1,2006,Tuesday,0
20060208,2006-02-08,8,2,February,1,2006,Wednesday,0
20060209,2006-02-09,9,2,February,1,2006,Thursday,0
20060210,2006-02-10,10,2,February,1,2006,Friday,0
20060211,2006-02-11,11,2,February,1,2006,Saturday,1
20060212,2006-02-12,12,2,February,1,2006,Sunday,1
20060213,2006-02-13,13,2,February,1,2006,Monday,0
20060214,2006-02-14,14,2,February,1,2006,Tuesday,0
20060215,2006-02-15,15,2,February,1,2006,Wednesday,0
20060216,2006-02-16,16,2,February,1,2006,Thursday,0
20060217,2006-02-17,17,2,February,1,2006,Friday,0
20060218,2006-02-18,18,2,February,1,2006,Saturday,1
20060219,2006-02-19,19,2,February,1,2006,Sunday,1
20060220,2006-02-20,20,2,February,1,2006,Monday,0
20060221,2006-02-21,21,2,February,1,2006,Tuesday,0
20060222,2006-02-22,22,2,February,1,2006,Wednesday,0
20060223,2006-02-23,23,2,February,1,2006,Thursday,0
20060224,2006-02-24,24,2,February,1,2006,Friday,0
20060225,2006-02-25,25,2,February,1,2006,Saturday,1
20060226,2006-02-26,26,2,February,1,2006,Sunday,1
20060227,2006-02-27,27,2,February,1,2006,Monday,0
20060228,2006-02-28,28,2,February,1,2006,Tuesday,0
20060301,2006-03-01,1,3,March,1,2006,Wednesday,0
20060302,2006-03-02,2,3,March,1,2006,Thursday,0
20060303,2006-03-03,3,3,March,1,2006,Friday,0
20060304,2006-03-04,4,3,March,1,2006,Saturday,1
20060305,2006-03-05,5,3,March,1,2006,Sunday,1
20060306,2006-03-06,6,3,March,1,2006,Monday,0
20060307,2006-03-07,7,3,March,1,2006,Tuesday,0
20060308,2006-03-08,8,3,March,1,2006,Wednesday,0
20060309,2006-03-09,9,3,March,1,2006,Thursday,0
20060310,2006-03-10,10,3,March,1,2006,Friday,0
20060311,2006-03-11,11,3,March,1,2006,Saturday,1
20060312,2006-03-12,12,3,March,1,2006,Sunday,1
20060313,2006-03-13,13,3,March,1,2006,Monday,0
